booking_id,arrival_date,lead_time,is_flexible
1,2025-08-04,54,True
2,2023-04-18,23,True
3,2024-07-26,40,True
4,2022-08-19,17,False
5,2024-07-17,17,False
6,2021-05-21,22,False
7,2022-05-20,58,False
8,2023-09-22,27,False
9,2020-03-07,30,True
10,2024-06-18,30,True
11,2025-01-08,47,True
12,2022-07-01,21,True
13,2022-08-29,37,False
14,2025-03-07,20,True
15,2024-08-22,87,True
16,2021-09-06,20,True
17,2021-11-29,20,True
18,2024-02-16,34,True
19,2023-06-28,27,True
20,2020-12-16,30,False
21,2021-10-09,29,True
22,2025-07-01,19,False
23,2024-03-21,66,True
24,2025-11-09,41,True
25,2024-08-11,55,True
26,2025-08-22,22,True
27,2021-06-11,32,True
28,2024-08-17,29,True
29,2020-03-14,48,True
30,2024-01-17,49,False
31,2022-09-24,28,True
32,2022-02-20,17,True
33,2025-04-16,74,True
34,2025-03-17,34,True
35,2020-03-22,21,True
36,2023-08-23,32,False
37,2022-05-08,17,True
38,2022-07-22,45,False
39,2024-12-27,17,True
40,2021-10-09,24,True
41,2025-08-23,29,False
42,2021-02-18,45,True
43,2023-12-18,27,False
44,2024-01-21,36,True
45,2021-07-24,26,True
46,2021-12-03,26,True
47,2025-01-05,27,False
48,2024-08-05,24,True
49,2021-12-18,17,True
50,2023-05-07,20,False
51,2020-06-26,29,True
52,2021-06-02,24,True
53,2022-11-12,25,False
54,2020-07-25,23,True
55,2025-02-06,20,True
56,2024-06-13,22,False
57,2025-08-23,23,True
58,2024-04-09,26,True
59,2025-08-19,31,True
60,2023-06-17,24,False
61,2023-08-12,19,True
62,2025-10-08,17,True
63,2023-10-04,140,True
64,2020-04-22,18,True
65,2024-06-20,22,True
66,2025-07-08,33,True
67,2024-09-15,31,True
68,2023-07-23,33,True
69,2024-01-19,22,True
70,2025-11-25,29,True
71,2020-07-31,27,True
72,2024-01-04,23,True
73,2021-09-01,29,True
74,2023-09-30,45,True
75,2023-08-20,26,True
76,2020-11-14,26,True
77,2021-05-28,46,False
